Wavelength,LED_R,Kerosine,LED_S
538,0.000580832,0.001499825,0.001664728
539,0.000567489,0.001542606,0.001597326
540,0.00055005,0.001513182,0.001543878
541,0.000556575,0.001482678,0.001528317
542,0.000580149,0.001491625,0.001543461
543,0.000590812,0.001553465,0.001545647
544,0.000585793,0.001641037,0.001526391
545,0.000585339,0.001681393,0.001522588
546,0.000558131,0.001699465,0.001449384
547,0.000538705,0.00167536,0.001373294
548,0.000510873,0.001655553,0.001334291
549,0.000501095,0.001652173,0.001348769
550,0.000538767,0.00167502,0.001370486
551,0.000561314,0.001745719,0.001355138
552,0.000615526,0.001803564,0.001425904
553,0.000682359,0.001861576,0.001477159
554,0.000740574,0.00191118,0.001506599
555,0.000774476,0.001978841,0.001544193
556,0.00078506,0.002046558,0.001604926
557,0.000755449,0.002122905,0.001571325
558,0.000728091,0.002128988,0.001481515
559,0.000706153,0.0020716,0.001444159
560,0.000736594,0.002010112,0.001552901
561,0.000857672,0.002038854,0.001733368
562,0.000980367,0.002197869,0.001847865
563,0.000977866,0.00234785,0.001819193
564,0.000948155,0.002392787,0.001768492
565,0.00095742,0.002379778,0.001795856
566,0.001019805,0.002349237,0.001875611
567,0.001101273,0.002360111,0.001980925
568,0.001115122,0.002443411,0.002020776
569,0.001088989,0.002520247,0.001971575
570,0.001078862,0.002526003,0.001925509
571,0.001014076,0.002506229,0.001872605
572,0.000971876,0.002448139,0.0018908
573,0.000934426,0.002406619,0.001860051
574,0.000853792,0.002347139,0.001750925
575,0.00078675,0.002261412,0.001718589
576,0.000795221,0.0022139,0.001753207
577,0.000793502,0.002242791,0.001752079
578,0.000786155,0.002280351,0.001708681
579,0.000783191,0.002284478,0.001670599
580,0.000801362,0.002278046,0.001652134
581,0.000789617,0.002323064,0.001588326
582,0.000726942,0.002324311,0.001461867
583,0.000606186,0.002255433,0.001350196
584,0.00061642,0.002141296,0.001353079
585,0.000637814,0.002151883,0.00136545
586,0.000633657,0.002190617,0.001397487
587,0.000606118,0.002267203,0.001439774
588,0.000525356,0.002374784,0.001363439
589,0.000527702,0.002367299,0.001333119
590,0.000564166,0.002371818,0.001405555
591,0.000550493,0.002417304,0.001420792
592,0.000560471,0.002437409,0.001446242
593,0.000682169,0.002545635,0.001501779
594,0.00073058,0.002691261,0.001524815
595,0.000732411,0.002789956,0.001590777
596,0.000770977,0.002929923,0.00168721
597,0.000781513,0.003083201,0.001757104
598,0.000750488,0.003168493,0.00172568
599,0.000765522,0.003228005,0.001671893
600,0.000806789,0.003247983,0.001683974
601,0.000801368,0.003296517,0.001706913
602,0.000850076,0.00335367,0.001787512
603,0.000890457,0.003454476,0.00180876
604,0.00088186,0.003596269,0.001755923
605,0.0008218,0.003580996,0.001659966
606,0.000746331,0.003508034,0.001585448
607,0.000730594,0.003419978,0.001518778
608,0.000728799,0.003398371,0.001439141
609,0.000742818,0.003372593,0.001385753
610,0.000720955,0.003372857,0.001348873
611,0.000654349,0.003386386,0.001249399
612,0.000644207,0.003390059,0.00119268
613,0.000653108,0.003441994,0.001161938
614,0.000564591,0.003469697,0.001050819
615,0.000465831,0.003366565,0.000974293
616,0.000455637,0.003314681,0.000917464
617,0.000442643,0.003261099,0.000852746
618,0.000358781,0.00323091,0.000689943
619,0.0003078,0.003105039,0.000576364
620,0.000297675,0.002985552,0.000579759
621,0.000308652,0.002902087,0.000658574
622,0.000347248,0.002904111,0.00075344
623,0.000366026,0.002980113,0.000800066
624,0.000290167,0.003059839,0.000732092
625,0.000271705,0.002975678,0.000750669
626,0.000277967,0.002964614,0.000826992
627,0.00032429,0.003070481,0.000935067
628,0.000345016,0.003236879,0.001006159
629,0.000330376,0.003352108,0.001009688
630,0.000311446,0.003313211,0.000992153
631,0.000305204,0.003278994,0.001044221
632,0.000322736,0.00335994,0.001093839
633,0.000322736,0.003426915,0.001093018
634,0.000309492,0.003380555,0.001072194
635,0.000313711,0.003268496,0.001084657
636,0.000434705,0.003240371,0.001237423
637,0.000583192,0.003423707,0.001426659
638,0.000622679,0.003684094,0.001456141
639,0.000622777,0.003762695,0.001438718
640,0.000604514,0.003715213,0.001398242
641,0.000592162,0.00363376,0.001378682
642,0.000566139,0.003584421,0.001328749
